IND	SRC_TYPE	TARGET	CL_ID	FILE_ACCESSION	CL_NAME
184	DHS	-	NTR:0000474	ENCFF176PYR	ecto neural progenitor cell
185	DHS	-	CL:0001044	ENCFF921HYE	effector CD4-positive, alpha-beta T cell
186	DHS	-	CL:0000905	ENCFF158AZL	effector memory CD4-positive, alpha-beta T cell
187	DHS	-	CL:0000913	ENCFF052DSF	effector memory CD8-positive, alpha-beta T cell
188	DHS	-	UBERON:0012314	ENCFF169ISM	embryonic facial prominence
189	DHS	-	CL:0000223	ENCFF441BVT	endodermal cell
190	DHS	-	CL:0000115	ENCFF669OTS	endothelial cell
191	DHS	-	CL:0002618	ENCFF080VVT	endothelial cell of umbilical vein
192	DHS	-	CL:2000000	ENCFF930MBH	epidermal melanocyte
193	DHS	-	CL:0002252	ENCFF722AWL	epithelial cell of esophagus
194	DHS	-	CL:0002231	ENCFF213EKG	epithelial cell of prostate
195	DHS	-	CL:0002306	ENCFF948XMS	epithelial cell of proximal tubule
196	DHS	-	UBERON:0004648	ENCFF726TPF	esophagus muscularis mucosa
197	DHS	-	UBERON:0006920	ENCFF839REP	esophagus squamous epithelium
198	DHS	-	UBERON:0000970	ENCFF701HKM	eye
199	DHS	-	UBERON:0000981	ENCFF171GOE	femur
200	DHS	-	CL:0002551	ENCFF184KAM	fibroblast of dermis
201	DHS	-	CL:0002552	ENCFF861IVZ	fibroblast of gingiva
202	DHS	-	CL:0002553	ENCFF507GIC	fibroblast of lung
203	DHS	-	CL:0002555	ENCFF032AZY	fibroblast of mammary gland
204	DHS	-	CL:2000017	ENCFF596PZP	fibroblast of peridontal ligament
205	DHS	-	CL:0002557	ENCFF507JAG	fibroblast of pulmonary artery
206	DHS	-	CL:2000013	ENCFF744MXA	fibroblast of skin of abdomen
207	DHS	-	CL:0011022	ENCFF575ZSG	fibroblast of skin of back
208	DHS	-	NTR:0000521	ENCFF251OYZ	fibroblast of skin of left biceps
209	DHS	-	NTR:0000522	ENCFF450KKX	fibroblast of skin of left quadriceps
210	DHS	-	NTR:0000525	ENCFF191KEB	fibroblast of skin of right biceps
211	DHS	-	NTR:0000523	ENCFF458CFD	fibroblast of skin of right quadriceps
212	DHS	-	NTR:0000524	ENCFF940PTR	fibroblast of skin of scalp
213	DHS	-	CL:0002547	ENCFF120WYH	fibroblast of the aortic adventitia
214	DHS	-	CL:0002550	ENCFF839VHX	fibroblast of the conjunctiva
215	DHS	-	CL:0011021	ENCFF961CQT	fibroblast of upper back skin
216	DHS	-	CL:0002558	ENCFF655LFS	fibroblast of villous mesenchyme
217	DHS	-	UBERON:0003662	ENCFF596ROB	forelimb muscle
218	DHS	-	CL:1001608	ENCFF119TMJ	foreskin fibroblast
219	DHS	-	CL:1001606	ENCFF442IPQ	foreskin keratinocyte
220	DHS	-	CL:2000045	ENCFF513SMY	foreskin melanocyte
221	DHS	-	UBERON:0001870	ENCFF400QKK	frontal cortex
222	DHS	-	UBERON:0011907	ENCFF884XQO	gastrocnemius medialis
223	DHS	-	UBERON:0010754	ENCFF873DEI	germinal center
224	DHS	-	UBERON:0001875	ENCFF049FKM	globus pallidus
225	DHS	-	CL:0002188	ENCFF168YFR	glomerular endothelial cell
226	DHS	-	CL:0000653	ENCFF556GKS	glomerular visceral epithelial cell
227	DHS	-	CL:0000679	ENCFF721KLM	glutamatergic neuron
228	DHS	-	UBERON:0002626	ENCFF988WLS	head of caudate nucleus
229	DHS	-	UBERON:0000948	ENCFF372KCN	heart
230	DHS	-	UBERON:0002084	ENCFF555FXA	heart left ventricle
231	DHS	-	UBERON:0002080	ENCFF521JOO	heart right ventricle
232	DHS	-	CL:0000837	ENCFF745AKL	hematopoietic multipotent progenitor cell
233	DHS	-	CL:0000632	ENCFF648ARI	hepatic stellate cell
234	DHS	-	CL:0000182	ENCFF592AII	hepatocyte
235	DHS	-	UBERON:0003663	ENCFF405ZLI	hindlimb muscle
236	DHS	-	EFO:0007096	ENCFF172GXY	iPS DF 19.11
237	DHS	-	EFO:0007095	ENCFF660RBW	iPS DF 19.7
238	DHS	-	EFO:0007097	ENCFF157CDS	iPS DF 4.7
239	DHS	-	EFO:0007098	ENCFF668UYX	iPS DF 6.9
240	DHS	-	EFO:0007952	ENCFF669SYE	iPS-NIHi11
241	DHS	-	EFO:0007953	ENCFF532ILC	iPS-NIHi7
242	DHS	-	CL:0000823	ENCFF759GQR	immature natural killer cell
243	DHS	-	UBERON:0006088	ENCFF786TMD	inferior parietal cortex
244	DHS	-	CL:0000863	ENCFF963PZF	inflammatory macrophage
245	DHS	-	CL:0002565	ENCFF335XZR	iris pigment epithelial cell
246	DHS	-	NTR:0001484	ENCFF756PDM	islet precursor cell
247	DHS	-	CL:0000312	ENCFF011WVC	keratinocyte
248	DHS	-	UBERON:0002113	ENCFF973MIR	kidney
249	DHS	-	CL:1000892	ENCFF382ZAU	kidney capillary endothelial cell
250	DHS	-	CL:0002518	ENCFF964WGV	kidney epithelial cell
251	DHS	-	CL:1000510	ENCFF718KQK	kidney glomerular epithelial cell
252	DHS	-	CL:1000507	ENCFF416ORJ	kidney tubule cell
253	DHS	-	UBERON:0000059	ENCFF571DGW	large intestine
254	DHS	-	UBERON:0002079	ENCFF412VAL	left cardiac atrium
255	DHS	-	UBERON:0008971	ENCFF042YMQ	left colon
256	DHS	-	UBERON:8300002	ENCFF901TIM	left forelimb
257	DHS	-	UBERON:8300004	ENCFF702JFH	left hindlimb
258	DHS	-	UBERON:0004538	ENCFF058HYK	left kidney
259	DHS	-	UBERON:0001115	ENCFF644RPH	left lobe of liver
260	DHS	-	UBERON:0002168	ENCFF349QTP	left lung
261	DHS	-	UBERON:0018117	ENCFF096SMO	left renal cortex interstitium
262	DHS	-	UBERON:0018115	ENCFF322IFH	left renal pelvis
263	DHS	-	NTR:0000493	ENCFF003CAJ	left ventricle myocardium inferior
264	DHS	-	NTR:0000494	ENCFF124JWA	left ventricle myocardium superior
265	DHS	-	UBERON:0002101	ENCFF958PPG	limb
266	DHS	-	UBERON:0002107	ENCFF933OGA	liver
267	DHS	-	UBERON:0004264	ENCFF116DZJ	lower leg skin
268	DHS	-	UBERON:0008953	ENCFF190WKI	lower lobe of left lung
269	DHS	-	UBERON:0002171	ENCFF752THQ	lower lobe of right lung
270	DHS	-	UBERON:0002048	ENCFF700LFU	lung
271	DHS	-	CL:2000016	ENCFF622EPU	lung microvascular endothelial cell
272	DHS	-	CL:0002327	ENCFF260YRE	mammary epithelial cell
273	DHS	-	UBERON:0001896	ENCFF484AZD	medulla oblongata
274	DHS	-	CL:0000787	ENCFF370BCZ	memory B cell
275	DHS	-	CL:0000134	ENCFF536PSZ	mesenchymal stem cell
276	DHS	-	NTR:0000856	ENCFF476ZZV	mesendoderm
277	DHS	-	UBERON:0015143	ENCFF925JXF	mesenteric fat pad
278	DHS	-	CL:0011019	ENCFF291PBQ	mesothelial cell of epicardium
279	DHS	-	UBERON:0001891	ENCFF740RSJ	midbrain
280	DHS	-	UBERON:0006483	ENCFF870ORN	middle frontal area 46
281	DHS	-	UBERON:0002702	ENCFF107HRK	middle frontal gyrus
282	DHS	-	UBERON:0004992	ENCFF157TDQ	mucosa of descending colon
283	DHS	-	UBERON:0005033	ENCFF467VBW	mucosa of gallbladder
284	DHS	-	UBERON:0001499	ENCFF997ZRY	muscle of arm
285	DHS	-	UBERON:0002324	ENCFF723OPJ	muscle of back
286	DHS	-	UBERON:0001383	ENCFF593ULX	muscle of leg
287	DHS	-	UBERON:0001774	ENCFF222NNT	muscle of trunk
288	DHS	-	CL:0000187	ENCFF097CRX	myocyte
289	DHS	-	CL:0002372	ENCFF211XOC	myotube
290	DHS	-	CL:0000788	ENCFF440AXZ	naive B cell
291	DHS	-	CL:0000895	ENCFF158VBA	naive thymus-derived CD4-positive, alpha-beta T cell
292	DHS	-	CL:0000900	ENCFF931FYG	naive thymus-derived CD8-positive, alpha-beta T cell
293	DHS	-	CL:0000623	ENCFF886GET	natural killer cell
294	DHS	-	NTR:0000512	ENCFF054TLI	nephron progenitor cell
295	DHS	-	CL:0011012	ENCFF305UGC	neural crest cell
296	DHS	-	CL:0011020	ENCFF502QXW	neural progenitor cell
297	DHS	-	CL:0000047	ENCFF732IUC	neuronal stem cell
298	DHS	-	CL:0002304	ENCFF841LDN	non-pigmented ciliary epithelial cell
299	DHS	-	UBERON:0002021	ENCFF426WQV	occipital lobe
300	DHS	-	UBERON:0010414	ENCFF436YWU	omental fat pad
301	DHS	-	CL:0000062	ENCFF195EHM	osteoblast
302	DHS	-	CL:0000137	ENCFF669XGP	osteocyte
303	DHS	-	UBERON:0000992	ENCFF816OUE	ovary
304	DHS	-	UBERON:0001264	ENCFF631BPK	pancreas
305	DHS	-	UBERON:0001987	ENCFF710GDX	placenta
306	DHS	-	UBERON:0000988	ENCFF880TFT	pons
307	DHS	-	UBERON:0002740	ENCFF653TDA	posterior cingulate gyrus
308	DHS	-	UBERON:0001072	ENCFF619MAD	posterior vena cava
309	DHS	-	CL:0002351	ENCFF971MIV	progenitor cell of endocrine pancreas
310	DHS	-	UBERON:0002367	ENCFF233XNV	prostate gland
311	DHS	-	UBERON:0008450	ENCFF020OJE	psoas muscle
312	DHS	-	CL:1001568	ENCFF821YBP	pulmonary artery endothelial cell
313	DHS	-	UBERON:0001874	ENCFF359HZJ	putamen
314	DHS	-	UBERON:0005270	ENCFF258PML	renal cortex interstitium
315	DHS	-	CL:0002584	ENCFF303ROT	renal cortical epithelial cell
316	DHS	-	UBERON:0001224	ENCFF612VPK	renal pelvis
317	DHS	-	UBERON:0000966	ENCFF208OQF	retina
318	DHS	-	CL:0002586	ENCFF595DAC	retinal pigment epithelial cell
319	DHS	-	UBERON:0006631	ENCFF536NFY	right atrium auricular region
320	DHS	-	UBERON:0002078	ENCFF488JII	right cardiac atrium
321	DHS	-	UBERON:8300001	ENCFF865USI	right forelimb
322	DHS	-	UBERON:8300003	ENCFF586FGJ	right hindlimb
323	DHS	-	UBERON:0004539	ENCFF105JDU	right kidney
324	DHS	-	UBERON:0001114	ENCFF096WOZ	right lobe of liver
325	DHS	-	UBERON:0002167	ENCFF294DMF	right lung
326	DHS	-	UBERON:0018118	ENCFF324SRM	right renal cortex interstitium
327	DHS	-	UBERON:0018116	ENCFF598LDP	right renal pelvis
328	DHS	-	UBERON:0001322	ENCFF552QBG	sciatic nerve
329	DHS	-	UBERON:0001159	ENCFF274XSP	sigmoid colon
330	DHS	-	CL:0000188	ENCFF790RHQ	skeletal muscle cell
331	DHS	-	CL:0000515	ENCFF647RNC	skeletal muscle myoblast
332	DHS	-	UBERON:0002097	ENCFF950SDE	skin of body
333	DHS	-	UBERON:0002108	ENCFF607QNJ	small intestine
334	DHS	-	CL:0002590	ENCFF537NZX	smooth muscle cell of the brain vasculature
335	DHS	-	UBERON:0002240	ENCFF006MNH	spinal cord
336	DHS	-	UBERON:0002106	ENCFF737OQO	spleen
337	DHS	-	NTR:0000663	ENCFF193OWF	stimulated activated CD4-positive, alpha-beta T cell
338	DHS	-	NTR:0000669	ENCFF432NVH	stimulated activated CD8-positive, alpha-beta memory T cell
339	DHS	-	NTR:0000668	ENCFF449NOH	stimulated activated effector memory CD8-positive, alpha-beta T cell
340	DHS	-	NTR:0000661	ENCFF321KEW	stimulated activated naive B cell
341	DHS	-	NTR:0000667	ENCFF975INV	stimulated activated naive CD8-positive, alpha-beta T cell
342	DHS	-	UBERON:0000945	ENCFF221TMD	stomach
343	DHS	-	CL:0010001	ENCFF972VTU	stromal cell of bone marrow
344	DHS	-	UBERON:0002769	ENCFF278ZSP	superior temporal gyrus
345	DHS	-	CL:0000862	ENCFF607DEQ	suppressor macrophage
346	DHS	-	UBERON:0036149	ENCFF780WOI	suprapubic skin
347	DHS	-	UBERON:0000473	ENCFF806TUA	testis
348	DHS	-	UBERON:0001515	ENCFF218NMI	thoracic aorta
349	DHS	-	UBERON:0002370	ENCFF511YWZ	thymus
350	DHS	-	UBERON:0002046	ENCFF010ZLB	thyroid gland
351	DHS	-	UBERON:0007610	ENCFF891UUN	tibial artery
352	DHS	-	UBERON:0001323	ENCFF100ITH	tibial nerve
353	DHS	-	UBERON:0001723	ENCFF352WTW	tongue
354	DHS	-	UBERON:0001157	ENCFF903UTH	transverse colon
355	DHS	-	CL:0000351	ENCFF601JLH	trophoblast cell
356	DHS	-	CL:0000169	ENCFF485UZT	type B pancreatic cell
357	DHS	-	UBERON:0002331	ENCFF716MEI	umbilical cord
358	DHS	-	UBERON:0008952	ENCFF751WMO	upper lobe of left lung
359	DHS	-	UBERON:0002170	ENCFF226HAT	upper lobe of right lung
360	DHS	-	UBERON:0000056	ENCFF635FNH	ureter
361	DHS	-	UBERON:0001255	ENCFF386HEY	urinary bladder
362	DHS	-	EFO:0005913	ENCFF924JQP	urothelium cell line
363	DHS	-	UBERON:0000995	ENCFF372MHJ	uterus
364	DHS	-	UBERON:0000996	ENCFF872AJU	vagina
365	DHS	-	EFO:0005718	ENCFF188LXR	Ishikawa
366	DHS	-	CL:0000103	ENCFF760ZFI	bipolar neuron
367	DHS	-	CL:0010021	ENCFF764IAR	cardiac myoblast
368	DHS	-	CL:0002664	ENCFF370ZCS	cardiovascular progenitor cell
369	DHS	-	CL:0000222	ENCFF330SFG	mesodermal cell
370	ATAC	-	EFO:0001086	ENCFF899OMR	A549
371	ATAC	-	CL:0000236	ENCFF421XIL	B cell
372	ATAC	-	CL:0000792	ENCFF364QVY	CD4-positive, CD25-positive, alpha-beta regulatory T cell
373	ATAC	-	CL:0000624	ENCFF246KRE	CD4-positive, alpha-beta T cell
374	ATAC	-	CL:0000625	ENCFF035XXI	CD8-positive, alpha-beta T cell
375	ATAC	-	EFO:0007074	ENCFF095ATB	DND-41
376	ATAC	-	EFO:0002784	ENCFF748UZH	GM12878
377	ATAC	-	CLO:0024937	ENCFF717TCQ	GM18498
378	ATAC	-	CLO:0024933	ENCFF647UDQ	GM18499
379	ATAC	-	CLO:0024912	ENCFF453GXR	GM18502
380	ATAC	-	EFO:0005332	ENCFF376BWJ	GM18505
381	ATAC	-	CLO:0024919	ENCFF761RSD	GM18508
382	ATAC	-	CLO:0024877	ENCFF313BZQ	GM18511
383	ATAC	-	CLO:0024890	ENCFF481DKV	GM18517
384	ATAC	-	CLO:0024886	ENCFF215TCL	GM18519
385	ATAC	-	CLO:0024898	ENCFF690BFN	GM18520
386	ATAC	-	CLO:0026258	ENCFF824HVH	GM18858
387	ATAC	-	CLO:0026256	ENCFF439KAX	GM18861
388	ATAC	-	CLO:0026250	ENCFF094CWB	GM18867
389	ATAC	-	CLO:0026253	ENCFF755FSW	GM18868
390	ATAC	-	CLO:0026249	ENCFF937JGB	GM18870
391	ATAC	-	CLO:0026245	ENCFF719MMH	GM18873
392	ATAC	-	CLO:0026238	ENCFF903NSQ	GM18907
393	ATAC	-	CLO:0026235	ENCFF983UBQ	GM18909
394	ATAC	-	EFO:0010835	ENCFF283LXY	GM19023
395	ATAC	-	EFO:0010836	ENCFF915OAM	GM19025
396	ATAC	-	CLO:0025816	ENCFF840HAH	GM19035
397	ATAC	-	EFO:0010837	ENCFF589OTG	GM19043
398	ATAC	-	CLO:0027443	ENCFF968BIR	GM19324
399	ATAC	-	CLO:0027445	ENCFF683FRF	GM19328
400	ATAC	-	CLO:0027432	ENCFF568ADF	GM19351
